Timestamp,Open,High,Low,Close.Volume
1422367425,257.0000,267.5000,257.0000,263.1000,29.7530
1422371048,263.1000,266.0000,262.0000,263.5000,22.6157
1422374923,263.5000,263.5000,259.0000,260.7500,12.1534
1422378560,260.7500,262.7000,259.5000,262.7000,50.9816
1422382331,262.7000,266.4900,262.7000,264.5000,151.3168
1422385945,264.5000,266.3300,264.0900,264.6000,17.8932
1422389745,264.6000,265.0000,262.0000,264.4800,56.8166
1422393356,264.4800,265.0100,260.3000,261.0300,169.8766
1422396973,261.0300,261.6000,257.5500,260.0000,63.1622
1422400616,260.0000,263.9400,260.0000,262.2600,72.1287
1422404381,262.2600,264.0000,262.0000,263.6000,24.0689
1422408088,263.6000,265.9900,263.6000,264.2900,104.3863
1422411704,264.2900,265.5200,256.4800,257.1400,145.7281
1422415340,257.1400,260.0000,256.0000,256.5000,88.1059
1422418951,256.5000,259.0100,256.5000,257.9500,73.1178
1422422575,257.9500,259.0400,253.5300,257.1200,96.9679
1422426292,257.1200,259.3500,255.6900,256.9100,79.4725
1422429928,256.9100,257.9900,254.4400,255.0100,35.2802
1422433684,255.0100,259.0300,255.0000,257.9200,32.8826
1422437291,257.9200,261.4700,257.9000,261.4200,111.7613
1422440926,261.4200,262.0000,256.4000,256.9000,168.5480
1422444641,256.9000,259.4900,255.6600,259.2900,1.4224
1422448393,259.2900,260.1000,258.0800,259.8300,52.7300
1422452064,259.8300,260.0400,250.0000,250.8200,20.9670
1422455669,250.8200,255.0300,247.8100,253.2700,413.3604
1422459271,253.2700,254.9800,252.1900,254.7000,98.1905
1422462876,254.7000,255.8700,253.3800,254.2000,180.0097
1422466529,254.2000,255.0000,253.0100,253.8000,165.1522
1422470131,253.8000,254.9300,245.5000,246.4200,479.3255
1422473733,246.4200,250.0300,234.3300,237.8400,1224.5566
1422477351,237.8400,241.9700,237.2800,240.0400,411.0298
1422480955,240.0400,242.8000,234.4200,234.4200,518.6078
1422484571,234.4200,237.0000,228.5000,232.0800,360.0490
1422488182,232.0800,238.1400,231.9000,237.9100,334.1463
1422491847,237.9100,239.6400,233.1800,237.5700,291.6299
1422495481,237.5700,238.0000,235.0000,235.9900,228.8774
1422499085,235.9900,239.1800,235.0700,238.1100,193.4197
1422502687,238.1100,242.0000,237.3200,240.2000,377.5007
1422506292,240.2000,241.0000,235.4500,235.9000,296.5420
1422509893,235.9000,238.7600,234.5000,234.5000,241.1407
1422513566,234.5000,235.4500,229.2200,234.5600,305.6687
1422517167,234.5600,236.3300,233.7200,235.9600,144.5222
1422520897,235.9600,236.3300,230.0100,234.0500,388.4993
1422524508,234.0500,234.0500,230.7700,230.7700,19.1002
1422528132,230.7700,232.4800,230.1300,231.4000,26.6597
1422531820,231.4000,233.5200,230.4700,232.0200,35.5955
1422535465,232.0200,233.0200,221.1400,225.0000,395.4620
1422539149,225.0000,227.8400,223.1800,225.0000,489.8830
1422542774,225.0000,227.5600,222.9900,225.9000,332.4979
1422546376,225.9000,233.0200,225.8800,231.4900,368.8344
1422550003,231.4900,233.9200,229.1500,232.4100,555.3692
1422553681,232.4100,233.0200,230.0100,230.0100,139.5707
1422557295,230.0100,238.3800,230.0100,236.0000,402.0328
1422560896,236.0000,239.8700,234.2500,237.1900,375.6084
1422564500,237.1900,239.8400,236.4100,238.9300,285.5666
1422568102,238.9300,240.0000,233.2600,233.2600,383.2771
1422571703,233.2600,237.0100,232.5800,235.4800,247.7981
1422575335,235.4800,236.7200,233.0200,235.9000,189.7738
1422579039,235.9000,237.6500,234.6700,237.1200,170.0847
1422582642,237.1200,237.6600,235.0800,236.4000,131.4648
1422586312,236.4000,237.3400,235.3700,236.7400,205.8459
1422589969,236.7400,237.4700,233.3300,234.6000,110.7479
1422593782,234.6000,237.1100,234.6000,236.8800,158.6376
1422597460,236.8800,242.8400,236.2100,242.8400,336.9532
1422601220,242.8400,244.5900,239.9200,241.2700,326.4283
1422604823,241.2700,243.5900,237.0000,237.8600,203.8642
1422608435,237.8600,238.1600,236.6000,237.1000,85.3240
1422612283,237.1000,237.1000,234.2500,234.7400,129.7365
1422615935,234.7400,236.0200,231.7100,233.3500,113.0345
1422619589,233.3500,234.9300,231.0000,234.0000,163.5409
1422623196,234.0000,234.6000,232.5000,234.6000,16.0317
1422626813,234.6000,235.7500,232.4700,233.5500,243.4379
1422630415,233.5500,233.5900,227.8900,231.6500,354.1200
1422634016,231.6500,233.9100,229.0000,233.8900,407.5428
1422637652,233.8900,234.4900,229.9800,232.9500,642.6685
1422641255,232.9500,232.9500,229.0000,229.0000,186.6444
1422644941,229.0000,233.3200,228.5400,231.7200,432.3958
1422648548,231.7200,233.3300,230.4000,230.5600,390.4452
1422652198,230.5600,234.0000,228.5200,232.8000,469.5554
1422655913,232.8000,232.8000,229.8100,230.1000,133.8085
1422659540,230.1000,232.0000,229.0900,231.0000,154.7801
1422663208,231.0000,233.0000,228.8800,229.6500,307.0562
1422666872,229.6500,231.6900,228.0000,230.0300,244.5071
1422670494,230.0300,231.1100,229.0000,230.0100,299.4325
1422674095,230.0100,230.5500,227.0000,227.1000,318.0557
1422677869,227.1000,228.2300,227.0200,227.6000,258.4640
1422681472,227.6000,228.3000,226.2400,227.2100,185.2401
1422685076,227.2100,229.0800,226.8200,228.1900,131.6701
1422688734,228.1900,229.1100,227.0100,228.1400,105.9790
1422692506,228.1400,232.2500,228.0000,230.5200,229.6246
1422696106,230.5200,233.0000,230.5200,233.0000,54.6554
1422699817,233.0000,234.6700,232.5000,232.6300,62.2260
1422703428,232.6300,232.6300,230.0000,230.0700,78.5907
1422707534,230.0700,230.8500,230.0000,230.0000,4.2716
1422711136,230.0000,232.1200,229.0600,229.8600,97.4189
1422714740,229.8600,233.1200,229.7200,231.6500,228.2196
1422718344,231.6500,234.1000,231.0000,231.7700,334.6628
1422721946,231.7700,233.1200,231.3000,233.0400,315.1121
1422725710,233.0400,233.9900,231.6100,232.5000,233.0031
1422729397,232.5000,233.1700,229.0200,230.3500,295.4873
1422733165,230.3500,231.1200,229.5000,230.0900,134.7654
1422736820,230.0900,230.0900,228.2100,229.2200,180.5720
1422740442,229.2200,229.5300,226.0000,227.3900,352.2471
1422744043,227.3900,227.4800,225.0000,225.0000,507.8995
1422747649,225.0000,226.0800,217.1100,219.0100,743.1485
1422751251,219.0100,219.7900,218.0000,219.2400,375.1114
1422754856,219.2400,219.9800,216.1600,219.9800,338.0952
1422758472,219.9800,220.4000,216.1900,217.7800,202.2579
1422762089,217.7800,219.5500,216.4900,218.8100,236.3336
1422765700,218.8100,220.7300,218.0000,219.0800,215.5531
1422769362,219.0800,219.9300,217.1700,217.8500,196.8447
1422772968,217.8500,219.1100,217.3100,219.1100,328.8926
1422776571,219.1100,219.8000,218.7800,219.3500,9.7789
1422780188,219.3500,219.7000,218.0200,218.0400,30.8411
1422783801,218.0400,219.2800,216.0000,216.6800,162.2783
1422787421,216.6800,216.9500,212.8700,213.6000,249.3114
1422791293,213.6000,215.1100,212.2000,213.1300,119.0871
1422795106,213.1300,215.5000,210.0000,213.9200,246.9366
1422798721,213.9200,214.6900,213.5500,213.6900,75.6705
1422802369,213.6900,214.7500,212.0000,212.8500,233.5498
1422806008,212.8500,218.5200,212.7500,217.2000,472.2966
1422809692,217.2000,222.5000,217.0200,220.0800,726.3973
1422813327,220.0800,223.1100,218.9600,222.1100,446.3444
1422816944,222.1100,224.5000,220.4800,223.5100,288.6162
1422820553,223.5100,229.0500,223.5000,227.0600,702.6201
1422824316,227.0600,230.8600,226.1400,227.2700,466.9050
1422827971,227.2700,233.1200,227.2700,232.1500,716.1896
1422831572,232.1500,233.7900,226.4300,227.6300,368.0537
1422835211,227.6300,229.9800,227.0000,228.3900,189.7959
1422838819,228.3900,231.7600,226.9000,230.3400,253.0622
1422842423,230.3400,230.3400,225.8900,228.0000,196.9070
1422846069,228.0000,229.7700,227.6900,229.7700,88.2594
1422849669,229.7700,231.4000,226.1500,229.0300,361.0941
1422853286,229.0300,229.9900,228.0500,228.2800,181.6697
1422857256,228.2800,228.4000,226.0400,226.9800,68.8774
1422861106,226.9800,227.0000,222.1700,222.5600,204.2305
1422864767,222.5600,226.3900,222.3800,224.0000,119.6618
1422868403,224.0000,226.9700,223.8900,224.8400,171.0915
1422872056,224.8400,226.3600,224.2700,225.0500,86.0634
1422875659,225.0500,226.0700,224.4000,225.6200,56.0797
1422879272,225.6200,227.9000,222.0100,227.8700,202.8345
1422882880,227.8700,229.1500,227.2300,227.4700,102.3358
1422886589,227.4700,230.5100,221.5400,226.7300,341.6173
1422890191,226.7300,229.7200,226.0000,227.0600,420.5110
1422893791,227.0600,228.0000,220.8900,223.1900,375.4101
1422897446,223.1900,225.1000,222.9200,224.9700,169.5321
1422901126,224.9700,226.1000,223.9900,224.4000,370.8468
1422904800,224.4000,227.5500,223.6000,226.1500,775.6955
1422908406,226.1500,228.0100,225.0000,227.6100,550.4730
1422912219,227.6100,228.0000,225.1800,225.9900,507.7027
1422915882,225.9900,227.9900,225.9900,227.1500,200.5980
1422919483,227.1500,240.1000,226.7500,239.9900,1151.4344
1422923148,239.9900,239.9900,236.8800,238.3600,683.3448
1422926766,238.3600,242.0000,237.1000,237.6000,563.9134
1422930374,237.6000,238.0000,236.8800,237.9300,202.0285
1422934001,237.9300,239.4900,237.0700,239.4900,234.7567
1422937973,239.4900,239.5200,237.0500,237.6200,182.5836
1422941577,237.6200,239.3600,237.2200,238.2300,123.0596
1422945230,238.2300,239.5100,237.5100,238.9400,82.5493
1422948837,238.9400,238.9700,237.0300,237.6900,75.9663
1422952487,237.6900,240.0000,237.6900,239.0000,112.4089
1422956092,239.0000,243.8400,238.9000,241.2000,272.3377
1422959712,241.2000,241.6200,236.9000,238.1100,105.5946
1422963329,238.1100,243.9000,238.0700,241.8400,119.4247
1422967007,241.8400,243.3500,236.8100,239.6800,269.5363
1422970629,239.6800,240.9300,239.1200,240.0200,133.1602
1422974231,240.0200,242.2200,239.6900,241.4200,289.0612
1422978372,241.4200,243.0700,238.0000,238.1000,571.9751
1422981975,238.1000,240.0700,236.0100,238.0100,982.1983
1422985584,238.0100,240.1200,237.3300,238.8300,602.4229
1422989205,238.8300,242.2200,233.8800,233.9400,1018.0789
1422992810,233.9400,233.9400,227.4500,228.8100,697.0575
1422996463,228.8100,230.8200,228.0000,229.0100,185.8231
1423000200,229.0100,229.9900,225.3200,227.5000,355.1653
1423003804,227.5000,230.4500,227.0000,229.5400,540.2363
1423007429,229.5400,230.7400,227.0500,228.3800,379.8356
1423011035,228.3800,230.0000,228.2900,229.2600,213.4818
1423014653,229.2600,229.9700,228.0000,229.7700,277.5198
1423018270,229.7700,230.2400,228.6400,230.0800,221.0478
1423021896,230.0800,230.2500,226.8900,227.0500,569.2942
1423025545,227.0500,228.1700,226.8000,227.0100,318.3636
1423029199,227.0100,229.0400,225.8700,226.6800,444.7650
1423032806,226.6800,227.8100,225.8700,226.8800,124.0349
1423036432,226.8800,227.2700,222.0600,222.8600,534.1933
1423040049,222.8600,225.6200,222.3600,224.1200,273.8558
1423043668,224.1200,225.9200,222.0200,222.1600,264.5984
1423047288,222.1600,224.8900,221.8500,224.8000,97.3621
1423050900,224.8000,228.7900,224.2100,227.1400,181.7622
1423054503,227.1400,228.8000,225.2600,228.2000,233.7475
1423058281,228.2000,229.2000,224.0000,225.0800,293.7987
1423061883,225.0800,225.0800,222.0500,223.6000,372.2794
1423065483,223.6000,227.6200,223.4900,225.6900,432.2832
1423069103,225.6900,227.1800,223.3600,224.5000,535.5277
1423072757,224.5000,225.4200,221.5000,222.5100,403.8667
1423076371,222.5100,225.7600,222.5100,224.6900,576.4662
1423079972,224.6900,227.6500,224.6900,227.6500,549.3988
1423083629,227.6500,230.9900,225.5000,227.8600,1188.9044
1423087278,227.8600,227.8600,224.3900,225.5000,514.5324
1423091018,225.5000,227.0000,224.4700,225.4400,296.6216
1423094652,225.4400,227.6600,225.4400,227.5600,299.9265
1423098328,227.5600,228.0000,226.4500,226.5400,161.2610
1423101958,226.5400,228.8800,226.2100,228.6300,238.5507
1423105636,228.6300,228.9000,227.8800,228.0600,185.6865
1423109289,228.0600,228.9000,227.0100,227.2900,235.8476
1423112914,227.2900,227.9400,225.5000,226.3600,172.7469
1423116548,226.3600,226.8300,224.0900,224.9400,230.6781
1423120152,224.9400,225.9500,223.4100,224.0000,117.2865
1423123786,224.0000,226.6000,223.7000,226.4100,48.9891
1423127407,226.4100,227.1500,225.0000,225.4700,46.3719
1423131034,225.4700,226.4900,224.5700,225.9700,15.5209
1423134638,225.9700,226.7000,225.1100,225.1200,69.4565
1423138306,225.1200,226.1100,223.5000,224.9400,281.6120
1423141945,224.9400,225.7600,224.2600,224.2600,64.9690
1423145633,224.2600,225.0600,223.6300,225.0500,137.3740
1423149235,225.0500,226.3500,224.4500,224.6100,206.4980
1423152836,224.6100,225.5000,215.0000,215.3000,1496.6883
1423156440,215.3000,224.2500,215.3000,221.4700,480.6247
1423160042,221.4700,221.4700,216.7800,217.5100,721.6739
1423163714,217.5100,220.2400,217.3300,218.4000,469.9660
1423167346,218.4000,220.6800,217.8500,219.0800,504.8122
1423170948,219.0800,219.9800,217.9500,218.7500,288.4989
1423174552,218.7500,218.7900,217.3500,218.3800,320.7073
1423178152,218.3800,219.0700,216.2100,218.5500,286.4153
1423181754,218.5500,218.9900,216.0000,216.6900,639.5807
1423185360,216.6900,218.8000,216.6300,217.9500,331.7030
1423188990,217.9500,220.7900,217.8700,220.2500,375.7007
1423192604,220.2500,220.4500,218.3000,219.9600,205.5980
1423196219,219.9600,221.9000,219.3000,221.0200,227.4809
1423199820,221.0200,221.9700,216.4800,218.0400,670.4647
1423203423,218.0400,219.3400,217.4100,219.2200,139.4200
1423207033,219.2200,220.6100,219.1100,219.7900,93.9164
1423210690,219.7900,219.8600,217.1500,217.7900,99.8358
1423214395,217.7900,219.4400,217.7900,218.9700,17.0645
1423218007,218.9700,220.2500,218.2000,218.9400,46.7711
1423221693,218.9400,219.4000,216.7100,217.7100,135.8726
1423225301,217.7100,220.0800,216.0300,217.0500,239.1349
1423228902,217.0500,219.9600,216.8400,219.5000,46.0721
1423232504,219.5000,223.5000,218.7500,222.2200,199.8069
1423236114,222.2200,225.0000,220.2800,222.8300,257.2303
1423239720,222.8300,225.0100,221.9000,223.9300,257.7120
1423243335,223.9300,224.9000,222.0300,224.4000,278.8760
1423246961,224.4000,225.4600,223.0000,223.9000,256.4733
1423250594,223.9000,226.6400,223.5200,224.8700,286.7870
1423254306,224.8700,225.4500,222.9000,223.0200,553.9072
1423257908,223.0200,224.2500,223.0000,224.0700,127.2415
1423261523,224.0700,224.7000,223.3000,224.5000,167.0169
1423265124,224.5000,224.6500,220.4300,223.1800,470.3901
1423268952,223.1800,223.5000,222.4400,223.2500,186.1288
1423272555,223.2500,224.0500,223.0200,223.5000,120.5025
1423276292,223.5000,225.0000,223.4100,224.9500,132.6500
1423279919,224.9500,226.2300,224.0000,225.3000,323.2249
1423283587,225.3000,226.4000,224.1800,225.1000,193.4178
1423287224,225.1000,225.4000,224.4500,224.4900,22.5236
1423290845,224.4900,225.4300,224.1700,224.4900,54.0538
1423294608,224.4900,225.2500,224.1500,224.1600,57.0097
1423298218,224.1600,225.1100,223.3500,223.8100,94.8988
1423302050,223.8100,226.0000,223.8100,224.7500,84.5049
1423305657,224.7500,230.1100,224.7500,229.5800,487.6770
1423309271,229.5800,230.3000,228.7000,229.7300,56.7642
1423312934,229.7300,229.8700,228.9100,229.5100,23.2287
1423316613,229.5100,230.5000,228.8900,229.7500,61.5216
1423320219,229.7500,230.1400,228.0500,228.3400,107.6103
1423323863,228.3400,228.3400,225.0000,225.5600,232.6145
1423327463,225.5600,227.6200,224.9500,227.1000,424.2351
1423331074,227.1000,227.8700,225.0000,225.1100,230.4674
1423334681,225.1100,228.5500,224.9900,228.0700,335.0569
1423338281,228.0700,228.4500,226.6800,228.1100,263.4451
1423341884,228.1100,229.5000,228.1100,228.9000,262.4870
1423345495,228.9000,229.4900,227.5500,228.6800,229.1711
1423349124,228.6800,229.5000,228.3000,229.5000,148.8855
1423352756,229.5000,229.7900,228.3800,228.5500,113.2837
1423356379,228.5500,229.4700,228.4000,228.4100,108.8480
1423359986,228.4100,229.2500,227.8000,228.4100,153.6197
1423363589,228.4100,229.2000,227.0100,228.1100,273.6228
1423367193,228.1100,228.7300,228.0000,228.4300,156.5884
1423370866,228.4300,228.7400,226.0200,227.1000,129.3543
1423374536,227.1000,228.3900,226.0400,226.2500,107.2248
1423378155,226.2500,226.5000,225.0000,225.1700,155.8231
1423381840,225.1700,226.9900,225.0000,225.9200,82.0187
1423385444,225.9200,227.9800,225.8000,227.5500,71.8164
1423389083,227.5500,229.9900,227.2700,228.2700,108.2570
1423392698,228.2700,228.4400,227.6200,228.4400,18.9120
1423396465,228.4400,231.6000,228.3100,229.0000,240.3089
1423400070,229.0000,229.5000,224.0100,224.1100,298.7692
1423403711,224.1100,225.7800,221.1000,225.7200,321.9308
1423407354,225.7200,226.5600,225.3100,225.5900,93.4284
1423410959,225.5900,226.7800,221.0000,221.5300,402.9815
1423414572,221.5300,222.9800,220.0000,222.5500,311.9162
1423418284,222.5500,223.1100,221.8900,222.7800,218.5459
1423421929,222.7800,223.9500,222.3500,222.6600,237.7876
1423425689,222.6600,223.7100,222.4800,223.4300,153.5576
1423429405,223.4300,224.8500,223.2900,224.2000,143.5440
1423433067,224.2000,224.2000,222.9600,222.9800,236.1289
1423436686,222.9800,224.5000,222.7700,224.2900,145.2424
1423440289,224.2900,224.7200,223.8200,223.9600,144.8768
1423443906,223.9600,224.7300,222.6500,223.1600,247.9769
1423447519,223.1600,224.4100,222.6600,223.7400,194.2364
1423451121,223.7400,224.9900,223.7100,224.3100,495.5870
1423454722,224.3100,225.0000,223.7800,224.6700,242.7208
1423458325,224.6700,225.0000,222.7400,223.0500,303.8120
1423461928,223.0500,224.0000,221.5700,221.5700,243.5610
1423465544,221.5700,224.4300,221.5100,222.9000,165.6920
1423469144,222.9000,224.1900,222.5000,223.0000,84.4797
1423473064,223.0000,224.4100,222.0000,224.0100,88.3204
1423476701,224.0100,224.1300,222.4900,222.5700,26.1900
1423480456,222.5700,223.7100,221.6000,221.6000,124.1667
1423484070,221.6000,222.7100,217.0800,218.1100,358.6983
1423487680,218.1100,220.0100,217.7500,219.8400,267.7226
1423491295,219.8400,219.9700,216.8100,217.8200,458.1800
1423494900,217.8200,220.1600,217.6900,218.7400,503.3153
1423498509,218.7400,220.3600,218.5000,219.1800,274.2761
1423502118,219.1800,222.1100,218.6500,220.7800,460.7606
1423505784,220.7800,220.9300,219.5000,220.0800,299.2437
1423509490,220.0800,220.2500,216.4500,219.8000,669.0137
1423513170,219.8000,220.3000,219.6500,220.3000,94.1840
1423516811,220.3000,222.0400,220.0000,221.1900,362.7051
1423520422,221.1900,222.0000,221.0200,221.6600,139.6416
1423524028,221.6600,222.7000,220.3100,221.1700,301.9818
1423527644,221.1700,222.6400,220.0000,220.0400,213.6637
1423531471,220.0400,221.4500,220.0300,221.3000,61.8725
1423535081,221.3000,221.8100,220.6700,221.1500,150.8343
1423538702,221.1500,221.9200,221.1000,221.3800,174.8642
1423542308,221.3800,221.8100,220.8500,220.8500,147.2339
1423546137,220.8500,221.2500,218.5000,219.2700,241.3089
1423549741,219.2700,219.2700,217.5000,217.5000,121.1758
1423553351,217.5000,217.7200,215.5000,216.5000,235.1619
1423556969,216.5000,218.0000,216.4000,217.0600,218.0685
1423560921,217.0600,218.4100,216.4600,216.4600,128.8738
1423564536,216.4600,217.7100,216.1300,216.6500,132.2919
1423568146,216.6500,216.8300,215.8000,216.0800,143.4617
1423571864,216.0800,217.1000,215.1000,216.4500,211.7846
1423575572,216.4500,216.5000,215.0000,215.6000,167.5174
1423579174,215.6000,217.9800,215.2500,217.5900,216.1739
1423582810,217.5900,217.8200,215.8100,216.1000,118.6851
1423586411,216.1000,219.0800,216.1000,217.9500,436.7336
1423590045,217.9500,220.8200,215.9900,219.5000,731.3283
1423593661,219.5000,221.2500,217.8800,219.9300,315.3550
1423597691,219.9300,220.4900,218.4600,220.3100,270.1617
1423601318,220.3100,221.0900,219.9900,220.1000,451.4386
1423605011,220.1000,222.0000,219.9900,220.1000,474.3427
1423608633,220.1000,221.9800,220.0100,221.4700,118.7876
1423612243,221.4700,221.6800,220.5200,221.0600,46.1888
1423615883,221.0600,221.5500,219.6700,221.4600,327.0132
1423619511,221.4600,223.0900,221.0300,222.3400,676.3754
1423623124,222.3400,223.5000,220.6500,222.9400,504.5572
1423626752,222.9400,223.4200,222.5600,223.0300,265.9880
1423630364,223.0300,223.6100,222.0100,222.3500,480.5667
1423633966,222.3500,222.9000,220.6900,220.7800,142.6939
1423637621,220.7800,222.5700,220.7800,222.0300,177.3319
1423641225,222.0300,222.3500,220.6700,221.2400,157.8623
